,winner,loser,weight_class,event
9,Daniel Pineda,Mackens Semerzier,Featherweight,UFC_on_FX_Alves_vs_Kampmann
10,Shawn Jordan,Oli Thompson,Heavyweight,UFC_on_FX_Alves_vs_Kampmann
0,Stefan Struve,Stipe Miocic,Heavyweight,UFC_on_Fuel_TV_Struve_vs_Miocic
1,Dan Hardy,Amir Sadollah,Welterweight,UFC_on_Fuel_TV_Struve_vs_Miocic
2,Brad Pickett,Yves Jabouin,Bantamweight,UFC_on_Fuel_TV_Struve_vs_Miocic
3,Matt Wiman,Paul Sass,Lightweight,UFC_on_Fuel_TV_Struve_vs_Miocic
4,John Hathaway,John Maguire,Welterweight,UFC_on_Fuel_TV_Struve_vs_Miocic
5,Che Mills,Duane Ludwig,Welterweight,UFC_on_Fuel_TV_Struve_vs_Miocic
6,Jimi Manuwa,Kyle Kingsbury,Light Heavyweight,UFC_on_Fuel_TV_Struve_vs_Miocic
7,Akira Corassani,Andy Ogle,Featherweight,UFC_on_Fuel_TV_Struve_vs_Miocic
8,Brad Tavares,Tom Watson,Middleweight,UFC_on_Fuel_TV_Struve_vs_Miocic
9,Gunnar Nelson,DaMarques Johnson,Catchweight (183 lbs.),UFC_on_Fuel_TV_Struve_vs_Miocic
10,Robbie Peralta,Jason Young,Featherweight,UFC_on_Fuel_TV_Struve_vs_Miocic
0,Wanderlei Silva,Brian Stann,Light Heavyweight,UFC_on_Fuel_TV_Silva_vs_Stann
1,Mark Hunt,Stefan Struve,Heavyweight,UFC_on_Fuel_TV_Silva_vs_Stann
2,Diego Sanchez,Takanori Gomi,Catchweight (158 lb),UFC_on_Fuel_TV_Silva_vs_Stann
3,Yushin Okami,Hector Lombard,Middleweight,UFC_on_Fuel_TV_Silva_vs_Stann
4,Rani Yahya,Mizuto Hirota,Featherweight,UFC_on_Fuel_TV_Silva_vs_Stann
5,Dong Hyun Kim,Siyar Bahadurzada,Welterweight,UFC_on_Fuel_TV_Silva_vs_Stann
6,Brad Tavares,Riki Fukuda,Middleweight,UFC_on_Fuel_TV_Silva_vs_Stann
7,Takeya Mizugaki,Bryan Caraway,Bantamweight,UFC_on_Fuel_TV_Silva_vs_Stann
8,Kazuki Tokudome,Cristiano Marcello,Lightweight,UFC_on_Fuel_TV_Silva_vs_Stann
9,Alex Caceres,Kyung Ho Kang,Bantamweight,UFC_on_Fuel_TV_Silva_vs_Stann
10,Hyun Gyu Lim,Marcelo Guimar\xc3\xa3es,Welterweight,UFC_on_Fuel_TV_Silva_vs_Stann
0,Jos\xc3\xa9 Aldo (c),Chad Mendes,Featherweight,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
1,Welterweight,def.,[a],UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
2,[b],Benson Henderson,UFC 143,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
3,UFC 144,Light Heavyweight,5:00,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
4,5:00,[d],5,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
5,2,UFC 146,TKO (punches),UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
6,TKO (knee and punches),1:55,Chael Sonnen,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
7,Urijah Faber,5,def.,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
8,def.,"Decision (split) (48\xe2\x80\x9347, 48\xe2\x80\x9347, 46\xe2\x80\x9349)",Benson Henderson (c),UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
9,Demetrious Johnson,Joseph Benavidez,Flyweight,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
10,Light Heavyweight,def.,[i],UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
11,[j],Georges St-Pierre (c),UFC 152,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
12,UFC 154,Lightweight,5:00,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
13,5:00,[l],5,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
14,5,UFC 155,"Decision (unanimous) (50\xe2\x80\x9345, 50\xe2\x80\x9343, 50\xe2\x80\x9344)",UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
15,"Decision (unanimous) (50\xe2\x80\x9345, 50\xe2\x80\x9345, 50\xe2\x80\x9345)",5:00,Phil Davis,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
16,"Decision (unanimous) (30\xe2\x80\x9327, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Michael Bisping,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
17,"Decision (unanimous) (29\xe2\x80\x9328, 30\xe2\x80\x9327, 29\xe2\x80\x9328)",5:00,Demian Maia,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
18,TKO (doctor stoppage),5:00,Nik Lentz,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
19,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 30\xe2\x80\x9327)",5:00,John-Olav Einemo,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
20,TKO (punches),2:22,George Roop,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
21,Submission (reverse calf slicer),1:43,Eric Wisely,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
22,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Shane Roller,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
23,KO (punches),4:24,Joey Beltran,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
24,Submission (guillotine choke),1:08,Dustin Jacoby,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
25,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Diego Sanchez,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
26,TKO (punches),3:52,Dave Herman,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
27,"Decision (split) (29\xe2\x80\x9328, 28\xe2\x80\x9329, 29\xe2\x80\x9328)",5:00,Aaron Simpson,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
28,KO (punches),0:43,Phil De Fries,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
29,"Decision (unanimous) (30\xe2\x80\x9325, 30\xe2\x80\x9325, 30\xe2\x80\x9326)",5:00,Walel Watson,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
30,Submission (rear-naked choke),3:45,John Albert,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
31,KO (punches),1:32,Vagner Rocha,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
32,"Decision (unanimous) (30\xe2\x80\x9327, 30\xe2\x80\x9327, 29\xe2\x80\x9328)",5:00,Anton Kuivanen,UFC_on_Fuel_TV_Sanchez_vs_Ellenberger
